rank,stadium,capacity,regions,country,city,images,home_team,location
246,Miyagi Stadium,49133,East Asia,Japan,"Rifu, Miyagi",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/MiyagiStadiumTrackField.jpg/250px-MiyagiStadiumTrackField.jpg,Vegalta Sendai,"[38.3354303, 140.9505668]"
247,Incheon Munhak Stadium,49084,East Asia,South Korea,Incheon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Munhak_Stadium_Corner.jpg/250px-Munhak_Stadium_Corner.jpg,,"[37.4350619, 126.6907212]"
248,Heinz-von-Heiden-Arena,49000,Europe,Germany,Hanover,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HDI_Arena%2C_WM_Stadion_2006.jpg/250px-HDI_Arena%2C_WM_Stadion_2006.jpg,Hannover 96,"[52.3600162, 9.7312262]"
249,Parc des Princes,48712,Europe,France,Paris,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/PSG-Nantes_Parc_des_Princes_05.jpg/250px-PSG-Nantes_Parc_des_Princes_05.jpg,Paris Saint-Germain,"[48.8414374, 2.2530504]"
250,Stadium of Light,48707,Europe,England,"Sunderland, Tyne and Wear",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Stadium_of_Light%2C_Sunderland_afc.jpg/250px-Stadium_of_Light%2C_Sunderland_afc.jpg,Sunderland AFC,"[54.914561, -1.388371]"
251,Estadio Nacional,48665,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Adios_Matador.jpg/250px-Adios_Matador.jpg,"Chile national football team, CF Universidad de Chile","[-33.4646356, -70.6106698]"
252,Nelson Mandela Bay Stadium,48459,Africa,South Africa,"Port Elizabeth, Eastern Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg/250px-Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg,Chippa United FC,"[-33.9378928, 25.5992306]"
253,Estadio Tomás Adolfo Ducó,48314,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Estadio_huracan_interior_tribuna_gcba.jpg/250px-Estadio_huracan_interior_tribuna_gcba.jpg,CA Huracán,"[-34.6435379, -58.3965158]"
254,Jinnah Sports Stadium,48200,South Asia,Pakistan,Islamabad,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Jinnah_Sports_Stadium_track_and_field.jpg/250px-Jinnah_Sports_Stadium_track_and_field.jpg,Pakistan national football team,"[33.7004331, 73.0928118]"
255,Estadio Libertadores de América,48069,South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Estadio_Libertadores_de_America_2014.JPG/250px-Estadio_Libertadores_de_America_2014.JPG,Club Atlético Independiente,"[-34.6702197, -58.3713407]"
256,Free State Stadium,48000,Africa,South Africa,"Bloemfontein, Free State",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Free_State_Stadium1.jpg/250px-Free_State_Stadium1.jpg,"Bloemfontein Celtic, Toyota Cheetahs","[-29.1173316, 26.2088057]"
257,Nagai Stadium,47816,East Asia,Japan,Osaka,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Nagai_stadium20040717.jpg/250px-Nagai_stadium20040717.jpg,"Cerezo Osaka, NTT DoCoMo Red Hurricanes Osaka","[34.611305, 135.5186591]"
258,Neo Química Arena,47605,South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg/250px-Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg,Corinthians,"[-23.5453134, -46.4742292]"
259,Rogers Centre,47568,North America,Canada,"Toronto, Ontario",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Toronto_-_ON_-_Rogers_Centre2.jpg/250px-Toronto_-_ON_-_Rogers_Centre2.jpg,"Toronto FC, Toronto Argonauts","[43.6415758, -79.3894282]"
260,Estadio Monumental,47347,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Monumental_2009.jpg/250px-Estadio_Monumental_2009.jpg,Colo-Colo,"[-33.5065938, -70.6059776]"
261,Stadio Artemio Franchi,47282,Europe,Italy,Florence,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Soccer_in_Florence%2C_Italy%2C_2007.jpg/250px-Soccer_in_Florence%2C_Italy%2C_2007.jpg,ACF Fiorentina,"[43.7803995, 11.2834252]"
262,Estadio Ciudad de Lanús – Néstor Díaz Pérez,47027,South America,Argentina,Lanús,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG/250px-Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG,CA Lanús,"[-34.7177353, -58.3838435]"
263,Estadio Metropolitano Roberto Meléndez,46788,South America,Colombia,Barranquilla,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Estadio_Metropolitano_de_Baranquilla_2011.jpg/250px-Estadio_Metropolitano_de_Baranquilla_2011.jpg,"Colombia national football team, Atlético Junior","[10.9269606, -74.8005364]"
264,Estádio Olímpico Nilton Santos,46831,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg/250px-Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg,Botafogo FR,"[-22.9068467, -43.1728965]"
265,Itaipava Arena Pernambuco,46154,South America,Brazil,"São Lourenço da Mata, Pernambuco",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Panorama_of_Arena_Pernambuco.jpg/250px-Panorama_of_Arena_Pernambuco.jpg,Náutico,"[-8.0406625, -35.0081868]"
266,Arena MRV,46000,South America,Brazil,"Belo Horizonte, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg/250px-Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg,C Atlético Mineiro,"[-19.9300061, -44.0138902]"
267,Estádio Paulo Constantino,45954,South America,Brazil,"Presidente Prudente, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg/250px-Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg,Grêmio Prudente,"[-22.0985498, -51.4148828]"
268,Estadio Atanasio Girardot,45739,South America,Colombia,Medellín,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Atanasio_Girardot_Stadium.jpg/250px-Atanasio_Girardot_Stadium.jpg,"Atlético Nacional, Independiente Medellín","[6.256767, -75.5901729]"
269,Estadio Ramón Sánchez Pizjuán,45500,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sevilla2-1Lega20182.jpg/250px-Sevilla2-1Lega20182.jpg,Sevilla FC,"[37.3840863, -5.9709778]"
270,Adrar Stadium,45480,Africa,Morocco,Agadir,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Stade-Adrar2019.png/250px-Stade-Adrar2019.png,"Hassania Agadir, Morocco national team","[30.4274819, -9.5402594]"
271,Lukoil Arena,45360,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Match_veteranov_Spartaka_%2813%29.jpg/250px-Match_veteranov_Spartaka_%2813%29.jpg,Spartak Moscow,"[55.817711, 37.440214]"
272,Grand stade de Marrakech,45240,Africa,Morocco,Marrakesh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Stade_de_marrakech.jpg/250px-Stade_de_marrakech.jpg,"Kawkab Marrakech, Morocco national team","[31.7069988, -7.9803718]"
273,Mandela National Stadium,45202,Africa,Uganda,Kampala,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Mandela_National_Stadium%2C_Uganda.JPG/250px-Mandela_National_Stadium%2C_Uganda.JPG,Uganda national football team,"[0.3470744, 32.6593519]"
274,Tarczyński Arena Wrocław,45105,Europe,Poland,Wrocław,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg/250px-Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg,Śląsk Wrocław,"[51.1409589, 16.9422782]"
275,Kazan Arena,45105,Europe,Russia,Kazan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Poland_v._Colombia_%2842095441565%29.jpg/250px-Poland_v._Colombia_%2842095441565%29.jpg,Rubin Kazan,"[55.821002, 49.1608481]"
276,Estadio Inca Garcilaso de la Vega,45056,South America,Peru,Cusco,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Estadio_garcilaso_cienciano.jpg/250px-Estadio_garcilaso_cienciano.jpg,"CS Cienciano, Deportivo Garcilaso, Cusco FC","[-13.5252114, -71.9664377]"
277,24 February 1956 Stadium,45000,Africa,Algeria,Sidi Bel Abbès,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stade_24_F%C3%A9vrier_1956.jpg/250px-Stade_24_F%C3%A9vrier_1956.jpg,USM Bel Abbès,"[35.1850719, -0.6218678]"
278,Estádio da Machava,45000,Africa,Mozambique,Maputo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Mozambique national football team,"[-25.9174161, 32.5263578]"
279,Stadion Gelora Bung Tomo,45000,Southeast Asia,Indonesia,"Surabaya, East Java",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Persebaya Surabaya,"[-7.2232065, 112.6227885]"
280,Stadion Harapan Banga,45000,Southeast Asia,Indonesia,"Banda Aceh, Aceh",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Persiraja, Aceh United","[5.5226087, 95.3237899]"
281,Estadio General Pablo Rojas,45000,South America,Paraguay,Asunción,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Estadio_General_Pablo_Rojas.jpg/250px-Estadio_General_Pablo_Rojas.jpg,Club Cerro Porteño,"[-25.2999026, -57.6374088]"
282,Latakia Sports City Stadium,45000,West Asia,Syria,Latakia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[35.5605456, 35.7446599]"
283,Zibo Sports Centre Stadium,45000,East Asia,China,"Zibo, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[36.8130999, 118.0548]"
284,Weifang Sports Centre Stadium,45000,East Asia,China,"Weifang, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[36.717514, 119.128734]"
