rank,stadium,capacity,regions,country,city,images,home_team,location
320,Estádio Serra Dourada,42000,South America,Brazil,"Goiânia, Goiás",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Serra_Dourada_Lotado.jpg/250px-Serra_Dourada_Lotado.jpg,"Goiás Esporte Clube, Vila Nova, Atlético Goianiense","[-16.6990618, -49.2341521]"
321,Estadio Deportivo Cali,42000,South America,Colombia,Cali,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/SportingCali12.png/250px-SportingCali12.png,Deportivo Cali,"[3.5218253, -76.4170055]"
322,Estadio Modelo Alberto Spencer,42000,South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Estadio_Modelo_Lleno_2007_-_panoramio.jpg/250px-Estadio_Modelo_Lleno_2007_-_panoramio.jpg,"Club Sport Patria, Club Deportivo Everest, Panamá Sporting Club, Rocafuerte Fútbol Club","[-2.1788249, -79.8944005]"
323,Estádio do Zimpeto,42000,Africa,Mozambique,Maputo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Mozambique national football team,"[-18.665695, 35.529562]"
324,Chengdu Sports Centre Stadium,42000,East Asia,China,"Chengdu, Sichuan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Chengdu_Sports_Center.JPG/250px-Chengdu_Sports_Center.JPG,,"[30.6634356, 104.0673013]"
325,Royal Bafokeng Stadium,42000,Africa,South Africa,"Phokeng, North West",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Royal_Bafokeng_Stadium%2C_Phokeng.jpg/250px-Royal_Bafokeng_Stadium%2C_Phokeng.jpg,,"[-25.5787835, 27.1609809]"
326,Estadio Universitario,42000,North America,Mexico,San Nicolás de los Garza,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Estadio_Universitario_Concachampions.jpg/250px-Estadio_Universitario_Concachampions.jpg,Tigres de la UANL,"[25.7225253, -100.3119747]"
327,Estadio Brigadier General Estanislao López,42000,South America,Argentina,Santa Fe,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg/250px-Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg,Club Atlético Colón,"[-31.6625961, -60.7253955]"
328,Estadio Marcelo Bielsa,42000,South America,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Estadio_Marcelo_Bielsa.jpg/250px-Estadio_Marcelo_Bielsa.jpg,Newell's Old Boys,"[-32.9560954, -60.6614593]"
329,Stade Geoffroy-Guichard,41965,Europe,France,Saint-Étienne,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/St_Etienne_Stade_Geoffroy_Guichard.jpg/250px-St_Etienne_Stade_Geoffroy_Guichard.jpg,AS Saint-Étienne,"[45.460517, 4.389434]"
330,Vodafone Park,41903,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Vodafone_Park_Panorama.jpg/250px-Vodafone_Park_Panorama.jpg,Beşiktaş J.K.,"[41.0390029, 28.9945064]"
331,Peter Mokaba Stadium,41733,Africa,South Africa,Polokwane,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Teams_are_warming_up_%284738980575%29.jpg/250px-Teams_are_warming_up_%284738980575%29.jpg,Polokwane City FC,"[-23.9247663, 29.4687793]"
332,Estadio Gigante de Arroyito,41654,South America,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Estadio_Gigante_de_Arroyito.jpg/250px-Estadio_Gigante_de_Arroyito.jpg,Rosario Central,"[-32.9140102, -60.6745536]"
333,Estadio Cachamay,41600,South America,Venezuela,Ciudad Guayana,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/CTE_Chamay_Aereo_Cut.jpg/250px-CTE_Chamay_Aereo_Cut.jpg,"Atlético Club Mineros de Guayana, AC Minervén FC","[8.3126419, -62.6962556]"
334,Estadio de Liga Deportiva Universitaria,41596,South America,Ecuador,Quito,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG/250px-Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG,LDU,"[-0.1076715, -78.4891149]"
335,Allianz Stadium,41507,Europe,Italy,"Turin, Piedmont",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg/250px-Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg,Juventus FC,"[45.1095522, 7.6412777]"
336,Sapporo Dome,41484,East Asia,Japan,"Sapporo, Hokkaido",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sapporo_Dome_001.jpeg/250px-Sapporo_Dome_001.jpeg,Hokkaido Consadole Sapporo,"[43.0151351, 141.4097379]"
337,Stamford Bridge,41663,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg/250px-Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg,Chelsea,"[53.9894814, -0.9133954]"
338,Goyang Stadium,41311,East Asia,South Korea,Goyang,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Goyang_sta_1.JPG/250px-Goyang_sta_1.JPG,,"[37.6757812, 126.742595]"
339,Estadio Hernando Siles,41143,South America,Bolivia,La Paz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Hernando_Siles_Stadium_-_La_Paz.jpg/250px-Hernando_Siles_Stadium_-_La_Paz.jpg,"La Paz FC, Club Bolívar, The Strongest","[-16.4994705, -68.1226406]"
340,Bingu National Stadium,41100,Africa,Malawi,Lilongwe,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Flames, Big Bullets FC","[-13.9438937, 33.7531604]"
341,Mbombela Stadium,40929,Africa,South Africa,"Nelspruit, Mpumalanga",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mbombela_Stadium_arena.jpg/250px-Mbombela_Stadium_arena.jpg,,"[-25.4617006, 30.9296944]"
342,Estadio José Pachencho Romero,40800,South America,Venezuela,Maracaibo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/JPPachenchoRomero-16.jpg/250px-JPPachenchoRomero-16.jpg,"Deportivo JBL del Zulia, Deportivo Rayo Zuliano","[10.6740877, -71.6450053]"
343,Stade Nelson Mandela,40784,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Nelson_Mandela_Stadium.jpg/250px-Nelson_Mandela_Stadium.jpg,Algeria national football team,"[36.6937775, 3.1219605]"
344,Kashima Football Stadium,40728,East Asia,Japan,"Kashima, Ibaraki",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kashima_Soccer_Stadium_5.jpg/250px-Kashima_Soccer_Stadium_5.jpg,Kashima Antlers,"[35.9656835, 140.6447937]"
345,Baba Yara Stadium,40528,Africa,Ghana,Kumasi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Kumasi924.JPG/250px-Kumasi924.JPG,"Asante Kotoko, King Faisal Babes","[7.946527, -1.023194]"
346,Estádio Major Antônio Couto Pereira,40502,South America,Brazil,"Curitiba, Paraná",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Est%C3%A1dio_Couto_Pereira.jpg/250px-Est%C3%A1dio_Couto_Pereira.jpg,Coritiba Foot Ball Club,"[-25.4209759, -49.2594803]"
347,Stage Front Stadium,40500,Europe,Spain,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Estadicornellaelprat_1.jpg/250px-Estadicornellaelprat_1.jpg,RCD Espanyol,"[41.3481426, 2.0745615]"
348,Estadio Metropolitano de fútbol de Lara,40312,South America,Venezuela,Barquisimeto,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Estadio_Metropolitano_de_Lara.jpg/250px-Estadio_Metropolitano_de_Lara.jpg,Unión Lara,"[9.9935717, -69.2200547]"
349,Estadio Malvinas Argentinas,40268,South America,Argentina,Mendoza,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Estadio_Malvinas_Argentinas_2012.jpg/250px-Estadio_Malvinas_Argentinas_2012.jpg,Godoy Cruz Antonio Tomba,"[-32.8896642, -68.8800956]"
350,Stadion Lukas Enembe,40263,Southeast Asia,Indonesia,Nolokla,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lukas_Enembe_Stadium.jpg/250px-Lukas_Enembe_Stadium.jpg,Persipura Jayapura,"[-2.5789397, 140.5735619]"
351,Gwangju World Cup Stadium,40245,East Asia,South Korea,Gwangju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Gwangju_World_Cup_Stadium.jpg/250px-Gwangju_World_Cup_Stadium.jpg,Gwangju FC,"[35.1336964, 126.8748972]"
352,Sân vận động Quốc gia Mỹ Đình,40192,Southeast Asia,Vietnam,Hanoi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg/250px-Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg,Vietnam national football team,"[21.0204835, 105.7639194]"
353,Goodison Park,40157,Europe,England,"Liverpool, North West",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Goodison_Park_August_2022.jpg/250px-Goodison_Park_August_2022.jpg,Everton FC,"[53.4388437, -2.9662821]"
354,Estádio Governador João Castelo,40149,South America,Brazil,"São Luís, Maranhão",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg/250px-Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg,"Sampaio Corrêa FC, Moto Club SL, Maranhão AC","[-2.5487515, -44.2600644]"
355,Miloud Hadefi Stadium,40143,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Stade_de_Oran.jpg/250px-Stade_de_Oran.jpg,"Algeria national football team, MC Oran","[35.7284343, -0.5494177]"
356,Estadio Campeón del Siglo,40005,South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg/250px-Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg,Club Atlético Peñarol,"[-34.7968906, -56.0671246]"
357,Metalist Stadium,40003,Europe,Ukraine,Kharkiv,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Metalist_Stadium_Kharkiv.jpg/250px-Metalist_Stadium_Kharkiv.jpg,"FC Metalist Kharkiv, FC Shakhtar Donetsk","[49.9810252, 36.2608654]"
358,Al-Janoub Stadium,40000,West Asia,Qatar,Al-Wakrah,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg/250px-Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg,,"[25.1600082, 51.5740966]"
359,Al-Thumama Stadium,40000,West Asia,Qatar,Al-Thumama,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Al_Thumama_Stadium_%282%29.jpg/250px-Al_Thumama_Stadium_%282%29.jpg,,"[25.2354318, 51.5321536]"
360,Ahmed Zabana Stadium,40000,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Stade_Ahmed_Zabana_2.jpg/250px-Stade_Ahmed_Zabana_2.jpg,MC Oran,"[35.6833281, -0.6362595]"
361,Stadion Batakan,40000,Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/2017-11-14_Batakan.jpg/250px-2017-11-14_Batakan.jpg,Persiba Balikpapan,"[-1.2333487, 116.9431443]"
362,Ali La Pointe Stadium,40000,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Stade_ali_la_pointe_douera.jpg/250px-Stade_ali_la_pointe_douera.jpg,MC Alger,"[36.6816962, 2.961807]"
363,Stadion Gelora Joko Samudro,40000,Southeast Asia,Indonesia,"Gresik, East Java",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gelora_Joko_Samudro_Stadium_%282016%29.jpg/250px-Gelora_Joko_Samudro_Stadium_%282016%29.jpg,Gresik United,"[-7.1856021, 112.6507281]"
364,Fisht Olympic Stadium,40000,Europe,Russia,Sochi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg/250px-2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg,,"[43.4011066, 39.9561934]"
365,Rentschler Field,40000,North America,United States,"East Hartford, Connecticut",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Rentschler_Field_2017.jpg/250px-Rentschler_Field_2017.jpg,,"[41.7589474, -72.6194505]"
366,Jawaharlal Nehru Stadium,40000,South Asia,India,Kochi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg/250px-Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg,"Kerala Blasters, India national football team","[9.9312328, 76.2673041]"
367,Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Stadium_Hang_Jebat_015342.jpg/250px-Stadium_Hang_Jebat_015342.jpg,Melaka United,"[2.2891667, 102.2322222]"
368,Hong Kong Stadium,40000,East Asia,Hong Kong,So Kon Po,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hong_Kong_Stadium-1.jpg/250px-Hong_Kong_Stadium-1.jpg,South China AA,"[22.2728794, 114.1886088]"
369,Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Batu_Kawan_Stadium%2CPenang.jpg/250px-Batu_Kawan_Stadium%2CPenang.jpg,Penang FA,"[5.2610547, 100.437581]"
370,Accra Sports Stadium,40000,Africa,Ghana,Accra,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Accra Hearts of Oak SC, Great Olympics","[5.5514554, -0.1919134]"
371,Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Stadium_Sarawak.JPG/250px-Stadium_Sarawak.JPG,Sarawak FA,"[1.588484, 110.3602158]"
372,Bogyoke Aung San Stadium,40000,Southeast Asia,Myanmar,Yangon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Aungsan_Stadium.jpg/250px-Aungsan_Stadium.jpg,Yangon United FC,"[16.7838176, 96.1607257]"
373,Resonac Dome Ōita,40000,East Asia,Japan,Ōita,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%C5%8Cita_Stadium_2023-03.jpg/250px-%C5%8Cita_Stadium_2023-03.jpg,Ōita Trinita,"[33.2007861, 131.6575]"
374,Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Stadium_Pahang.jpg/250px-Stadium_Pahang.jpg,Pahang FA,"[3.8144618, 103.3233562]"
375,Khalifa International Stadium,40000,West Asia,Qatar,Doha,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Khalifa_International_Stadium.jpg/250px-Khalifa_International_Stadium.jpg,Qatar national football team,"[25.2636219, 51.4481083]"
376,Stade de l’Amitié sino-gabonaise,40000,Africa,Gabon,Libreville,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Gabon national football team,"[0.5221464, 9.393267]"
377,Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Pakistan national football team,"[24.8585485, 66.9883157]"
378,JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/J.R.D._Tata_Stadium.jpg/250px-J.R.D._Tata_Stadium.jpg,"Jamshedpur FC, Tata Football Academy","[22.806101, 86.1930647]"
379,Bao'an Stadium,40000,East Asia,China,"Shenzhen, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bao%27an_Stadium.jpg/250px-Bao%27an_Stadium.jpg,,"[22.557916, 113.879597]"
380,Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,"Kunming, Yunnan",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Kunming_07.JPG/250px-Kunming_07.JPG,China national football team,"[25.035206, 102.730228]"
381,Taizhou Sports Centre Stadium,40000,East Asia,China,"Taizhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[28.646551, 121.399897]"
382,Wuhu Olympic Stadium,40000,East Asia,China,"Wuhu, Anhui",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[31.3524599, 118.43313]"
383,Huizhou Olympic Stadium,40000,East Asia,China,"Huizhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[23.034903, 114.446793]"
